Date,Equipe 1,Equipe 2,Coupe
03/11/2025,AirFrance,Amadeus 1,non
03/11/2025,arm1,EURECOM 1,non
03/11/2025,FortiTeam,NXP1,non
04/11/2025,Renault,SiMoVolley,non
06/11/2025,Amadeus 2,Synopsys,non
06/11/2025,arm2,EkipEkip,non
06/11/2025,CADENCE,EURECOM 2,non
10/11/2025,InDeMENTAble,NXP2,non
10/11/2025,Thales DIS1,Thales DIS2,non
10/11/2025,Synopsys,arm2,non
13/11/2025,THALES,AirFrance,non
13/11/2025,Amadeus 1,arm1,non
13/11/2025,NXP1,Renault,non
17/11/2025,EURECOM 1,FortiTeam,non
17/11/2025,SiMoVolley,THALES,non
17/11/2025,AirFrance,arm1,non
18/11/2025,EkipEkip,CADENCE,non
20/11/2025,EURECOM 2,InDeMENTAble,non
20/11/2025,NXP2,Thales DIS1,non
20/11/2025,Thales DIS2,Amadeus 2,non
24/11/2025,Synopsys,EkipEkip,non
24/11/2025,arm2,CADENCE,non
24/11/2025,EURECOM 2,NXP2,non
25/11/2025,Amadeus 1,EURECOM 1,non
27/11/2025,FortiTeam,Renault,non
27/11/2025,NXP1,SiMoVolley,non
27/11/2025,THALES,arm1,non
01/12/2025,AirFrance,EURECOM 1,non
01/12/2025,Amadeus 1,FortiTeam,non
01/12/2025,NXP1,THALES,non
02/12/2025,InDeMENTAble,Thales DIS1,non
04/12/2025,Thales DIS2,arm2,non
04/12/2025,Amadeus 2,EkipEkip,non
04/12/2025,EURECOM 2,Synopsys,non
08/12/2025,EURECOM 2,Thales DIS1,non
08/12/2025,InDeMENTAble,Thales DIS2,non
08/12/2025,NXP2,Amadeus 2,non
09/12/2025,Synopsys,CADENCE,non
11/12/2025,Amadeus 1,NXP1,non
11/12/2025,arm1,Renault,non
11/12/2025,THALES,FortiTeam,non
15/12/2025,EURECOM 1,SiMoVolley,non
15/12/2025,AirFrance,NXP1,non
15/12/2025,Amadeus 1,Renault,non
16/12/2025,Thales DIS1,Synopsys,non
18/12/2025,EURECOM 2,arm2,non
18/12/2025,EkipEkip,NXP2,non
18/12/2025,CADENCE,Amadeus 2,non
05/01/2026,CADENCE,Renault,oui
05/01/2026,Amadeus 1,Thales DIS1,oui
05/01/2026,Amadeus 2,arm2,oui
06/01/2026,InDeMENTAble,EURECOM 1,oui
08/01/2026,AirFrance,EkipEkip,oui
08/01/2026,SiMoVolley,EURECOM 2,oui
08/01/2026,NXP1,Thales DIS2,oui
12/01/2026,InDeMENTAble,Synopsys,non
12/01/2026,Thales DIS2,EkipEkip,non
12/01/2026,EURECOM 2,Amadeus 2,non
13/01/2026,Thales DIS1,arm2,non
15/01/2026,arm1,FortiTeam,non
15/01/2026,THALES,EURECOM 1,non
15/01/2026,SiMoVolley,AirFrance,non
19/01/2026,Renault,THALES,non
19/01/2026,NXP1,EURECOM 1,non
19/01/2026,SiMoVolley,Amadeus 1,non
20/01/2026,Synopsys,NXP2,oui
22/01/2026,THALES,?,oui
22/01/2026,arm1,?,oui
22/01/2026,FortiTeam,?,oui
26/01/2026,Amadeus 2,Thales DIS1,non
26/01/2026,AirFrance,FortiTeam,non
26/01/2026,InDeMENTAble,CADENCE,non
27/01/2026,,,non
29/01/2026,Thales DIS2,NXP2,non
29/01/2026,EkipEkip,EURECOM 2,non
29/01/2026,Amadeus 2,arm2,non
02/02/2026,Thales DIS1,CADENCE,non
02/02/2026,Synopsys,NXP2,non
